"","classification","relative_intensity","soft_colors","hard_colors"
"1","Pulsar",0.192522013556761,0.696075170463995,0.786369746916827
"2","Pulsar",0.559294464841339,0.71728100739654,0.860575183890028
"3","Pulsar",0.421355478118699,0.469110809548175,0.493182686998259
"4","BH",0.0162739839398232,0.593726761235285,0.704307910686294
"5","BH",0.448215499817235,0.300570684438316,0.0570867971291372
"6","NS",0.62425052002653,0.57151120416469,0.54157608044399
"7","NS",0.752249473970929,0.579659097660167,0.563902521024099
"8","NS",0.580045480920987,0.644250938311102,0.55819319530172
"9","BH",0.0974112390346265,0.526141442995608,0.55111846475481
"10","NS",0.30883202256541,0.516605148998053,0.442980248892534
"11","NS",0.507774627852178,0.591321970172144,0.585935290305719
"12","NS",0.414560509516645,0.560183724604525,0.541435778515453
"13","NS",0.0461946931618916,0.460661047295258,0.440922550777829
"14","NS",0.424283475837371,0.55493918409573,0.501837047547858
"15","NS",0.689632672683292,0.437663410714084,0.368270477837398
"16","NS",0.12127848105606,0.771568441728068,0.701255688411939
"17","NS",0.762696908082692,0.588879695406913,0.508703951958732
"18","NS",0.536424431278634,0.496597410853609,0.441781288301784
"19","NS",0.653404814940856,0.567705169766252,0.547431070083809
"20","NS",0.0303731101807952,0.478690244730426,0.456411906677393
"21","BH",0.28899286173569,0.73150322075733,0.811072986825941
"22","NS",0.687958991007171,0.475580539592565,0.412325185562126
"23","NS",0.400888737268372,0.505498275863484,0.461968306475524
"24","BH",0.125367086816489,0.483409839681292,0.50993212935961
"25","Pulsar",0.0745492675623579,0.610187344819803,0.75362985036774
"26","NS",0.568516243453688,0.507424646597948,0.481455779106359
"27","BH",0.168336961355005,0.267214045714827,0.212986022871665
"28","NS",0.0456616023104071,0.500385926364123,0.498787649283046
"29","NS",0.132315210886778,0.515236879171219,0.495013118560706
"30","NS",0.0459200574753698,0.465579710144927,0.478119180633147
"31","NS",0.690472829741716,0.575317670705803,0.565920682565539
"32","Pulsar",0.473085573779665,0.780609038450551,0.842113378218636
"33","NS",0.547111687082443,0.603705952257931,0.568639049688867
"34","NS",0.439340896171336,0.511985916990584,0.467129366840394
"35","NS",0.33160142381465,0.432431196854713,0.337707716518631
"36","NS",0.243815206827635,0.513940758857788,0.487252777349091
"37","Pulsar",0.0949614364731993,0.349499021758463,0.714293154180663
"38","Pulsar",0.362919123869402,0.750235013377685,0.925005970862192
"39","NS",0.294081660390431,0.467372363814022,0.417005347593583
"40","NS",0.245826708963274,0.518857472310305,0.510619056366488
"41","NS",0.616559159935001,0.586915708433674,0.490482168321021
"42","NS",0.614392731490451,0.564039858891653,0.521152851640591
