"","classification","relative_intensity","soft_colors","hard_colors"
"1","Pulsar",0.373535559174185,0.546692782883833,0.64432307183052
"2","NS",0.320410602544043,0.447901815242155,0.393358958622695
"3","Pulsar",0.203578033574533,0.560514039257108,0.765112668767935
"4","NS",0.499826047387026,0.506709186294551,0.509708419704914
"5","NS",0.50982653212865,0.638355845687033,0.629402969996969
"6","BH",0.187621491280106,0.737141346026709,0.887301587301587
"7","BH",0.0293554943517716,0.530361217788167,0.331992780012033
"8","Pulsar",0.506723065200484,0.385954937881659,0.663919878296146
"9","Pulsar",0.326664901124325,0.537981379602201,0.631570066649793
"10","BH",0.210690179239827,0.576242801421888,0.685608702274166
"11","NS",0.572747410160051,0.492969678087103,0.437149402094856
"12","NS",0.0360711812375204,0.586723509147666,0.582922974970689
"13","Pulsar",0.395203532388193,0.50772157564906,0.665577010795195
"14","NS",0.563544000607271,0.587252919122378,0.580444358418305
"15","Pulsar",0.536454560328419,0.64133880290882,0.775488765684272
"16","Pulsar",0.290587837824832,0.635666052793125,0.795886783368298
"17","Pulsar",0.597962817159111,0.486700018742521,0.591193018716271
"18","BH",0.138137715901284,0.231179414945796,0.0665730165516399
"19","BH",0.35429868583418,0.446737261290615,0.317517025789885
"20","BH",0.397190309880219,0.434561943684609,0.454774395637851
"21","NS",0.392949772090092,0.762924501217822,0.897779440088274
"22","BH",0.315607715820532,0.460800254010124,0.378612933152293
"23","NS",0.59811500335859,0.526971073050381,0.493417475282026
"24","Pulsar",0.851692485777375,0.351505779098842,0.307731063610831
"25","NS",0.657278387202682,0.491852705037434,0.448802983813181
"26","Pulsar",0.758250182271089,0.536363636363636,0.6350820858816
"27","NS",0.33281100326638,0.486390531448219,0.394467110177302
"28","NS",0.0339632196846967,0.515297734696928,0.540291797867709
"29","NS",0.564167281724621,0.558085296429424,0.554668371033803
"30","BH",0.211565019057838,0.463599629921935,0.490931227128192
"31","BH",0.186246104989965,0.481190804754637,0.474774791822818
"32","NS",0.595951439568112,0.543705517625657,0.546287109422327
"33","BH",0.274196156273807,0.334799073610416,0.304214747524347
"34","BH",0.403746980071024,0.426120825391564,0.352198316183349
"35","NS",0.289699472383448,0.511896282226311,0.520163775591456
"36","Pulsar",0.310709421773737,0.514945353992012,0.684887368120901
"37","NS",0.405510321346438,0.578288920056101,0.553056433562849
"38","BH",0.175052835774086,0.255499555292025,0.0633811572220703
"39","Pulsar",0.2516962409936,0.501506740681998,0.61221468229488
"40","BH",0.453215691837126,0.283179370797127,0.0625653589889151
"41","NS",0.55643839229866,0.420164778175698,0.378651567578903
"42","NS",0.608804207570862,0.601252039961662,0.59984876432132
"43","NS",0.734816977098531,0.585613700084107,0.484868429536363
"44","NS",0.617340455653567,0.446749630444498,0.365560877535332
"45","NS",0.0101340595031534,0.481726710229573,0.576421380972636
"46","BH",0.663158445103198,0.58658614193272,0.565232516532595
"47","NS",0.791956640258271,0.575918634872972,0.57760037408385
"48","BH",0.177986442969451,0.304033929225551,0.163456651154776
"49","NS",0.7047841683943,0.600622736541149,0.527205649769261
"50","BH",0.361311723954413,0.452397743300423,0.31252766710934
"51","Pulsar",0.625738194889695,0.507216215758929,0.591302639518404
"52","NS",0.187061071710198,0.518203187654981,0.494884655900573
"53","NS",0.500606851381782,0.488568357628239,0.417182186885062
"54","NS",0.26341626310892,0.371172411550116,0.324682884802338
"55","NS",0.228666410491989,0.378643693580392,0.296075544579534
"56","Pulsar",0.31174512391438,0.413513643120894,0.625260448584385
"57","Pulsar",0.225741886040233,0.410024182141716,0.7038771584299
"58","BH",0.263472655198482,0.445968466234928,0.221498614039575
"59","BH",0.831298609960316,0.718498789816966,0.700694417888883
"60","NS",0.020938484199202,0.491183656648318,0.396441852750668
"61","NS",0.439504897154179,0.48194723651467,0.438474903289594
"62","NS",0.692770553872813,0.48138073351468,0.419832109129066
"63","Pulsar",0.21030247920583,0.624427457645203,0.700738437621454
"64","NS",0.650236905182668,0.567289569559395,0.549864383278397
"65","NS",0.490727444124468,0.487532195682983,0.440929038588794
"66","BH",0.100237919276065,0.44525819265144,0.511744783131214
"67","Pulsar",0.243468274144268,0.74739774226653,0.938332140300644
"68","BH",0.359939284163113,0.70590282374747,0.574864460672406
"69","NS",0.240390389430234,0.464875354018593,0.582168885477241
"70","Pulsar",0.285490975330517,0.660500179490248,0.865634886055807
"71","NS",0.5299675629047,0.417212979286029,0.352268552534901
"72","BH",0.268933566394005,0.634933123524784,0.790811098815525
"73","NS",0.23664447005231,0.582073080439395,0.576039239150973
"74","NS",0.431238442922658,0.500637924862548,0.461730251701757
"75","BH",0.507787006968521,0.303094823966893,0.319561971129915
"76","Pulsar",0.514407033161611,0.56188168786594,0.687448559670782
"77","NS",0.669354587406093,0.575617533238283,0.58792640178949
"78","NS",0.584088366945726,0.52608689899128,0.488585583306815
"79","NS",0.524258778476057,0.488557535636766,0.417194213933561
"80","BH",0.137332018983944,0.447220749108938,0.478340316573557
"81","Pulsar",0.350869102964494,0.458771175348715,0.576428926804999
"82","Pulsar",0.107617387719346,0.551335559265442,0.686284046692607
"83","NS",0.517140064718782,0.464873608314835,0.430858092452754
"84","NS",0.56737339046726,0.674672055718951,0.664389553822385
"85","NS",0.609532876844107,0.492754387710202,0.487528768553937
"86","Pulsar",0.0246744969191229,0.612203632459515,0.676300578034682
"87","BH",0.0199660338045509,0.505956401995427,0.192262353578369
"88","BH",0.0305474329192167,0.53408483742751,0.518938629421817
"89","BH",0.00955775610901755,0.525236775236775,0.623310372214501
"90","Pulsar",0.708576635986001,0.468141564628025,0.497270181517819
"91","BH",0.182563446863914,0.351678364105939,0.288658321735703
"92","Pulsar",0.0356207500055303,0.589109764345485,0.695099389883881
"93","Pulsar",0.314396075713489,0.511123180534434,0.709432500484215
"94","NS",0.204997561248778,0.559872556146322,0.487954567160295
"95","BH",0.0881197187950444,0.469761701914403,0.200953459831964
"96","NS",0.531575480980565,0.489851694915254,0.439293032786885
"97","NS",0.371369174199098,0.394458131566279,0.46018983666978
"98","BH",0.250765437494686,0.635059128929911,0.772242473336033
"99","NS",0.4163638009173,0.43710323406806,0.337303666320955
"100","NS",0.178508479139839,0.518958963761163,0.384251113026843
"101","Pulsar",0.54620520833444,0.419645377331862,0.685957872228162
"102","NS",0.317802677820714,0.46725285418875,0.526517374517374
"103","NS",0.710034840397508,0.546318416295969,0.550211269387445
"104","NS",0.736044844104933,0.553070331193902,0.512119662078729
"105","NS",0.272687660898119,0.410160476845484,0.428411474069598
"106","Pulsar",0.220511268292375,0.543405543166614,0.871484773422701
"107","NS",0.404718453178875,0.428837817314994,0.361596063558912
"108","Pulsar",0.163602575934842,0.601980044860391,0.830589939425862
"109","NS",0.743642396936724,0.473309813521492,0.4058769065835
"110","NS",0.602847090103959,0.47586970731353,0.426604957889719
"111","BH",0.746477797611796,0.684391410627961,0.636200011905748
"112","NS",0.801303974204237,0.451211490506391,0.381318413741962
"113","NS",0.630907268206934,0.610012460427709,0.614088775653824
"114","NS",0.296410998027215,0.444505070263036,0.413493624930706
"115","Pulsar",0.570320851386047,0.390996418104852,0.639069812322092
"116","BH",0.323365064804747,0.495383440790424,0.222976934964399
"117","NS",0.601525763977562,0.574582010516202,0.541212075484352
"118","NS",0.412279029648929,0.552902250421334,0.47551969763047
"119","BH",0.300082072353501,0.28637662912172,0.159687856870955
"120","BH",0.566541312587073,0.48545747477317,0.28429329663849
"121","BH",0.759013784800414,0.369938284971849,0.272634664300133
"122","Pulsar",0.161836671544892,0.66280108055565,0.772498150732462
"123","BH",0.381022633062843,0.498286066992185,0.344295592048401
"124","BH",0.273653400592049,0.591317181158529,0.725870318429302
"125","BH",0.304299995247838,0.586433149952052,0.685245649752238
"126","Pulsar",0.0864913457293659,0.630862608055913,0.749656978919795
"127","BH",0.358263255174532,0.415377975219227,0.187169767135518
"128","Pulsar",0.035659043232531,0.55437762519178,0.6529960731318
"129","BH",0.377933373125178,0.298261335892406,0.209790904359503
"130","NS",0.020260043237022,0.620414348108439,0.569144938428629
"131","Pulsar",0.352242169814638,0.444394769196379,0.464173111644076
"132","NS",0.377914714980279,0.678717350332305,0.680503479018419
"133","NS",0.44543246859274,0.49678313541631,0.427121582530607
"134","NS",0.67367549054154,0.561886630271472,0.567230301059826
"135","NS",0.301687025447727,0.563779826012998,0.528048249891228
"136","BH",0.0876370351558142,0.610885327471479,0.578024374243502
"137","BH",0.692724569549505,0.556189095901905,0.588430862822077
"138","Pulsar",0.362502614528724,0.659376911649043,0.795093870952904
"139","BH",0.408339236911136,0.479223563359311,0.261831426482653
"140","Pulsar",0.58046648688079,0.652196127807887,0.766338527172647
"141","NS",0.132315210886778,0.515236879171219,0.495013118560706
"142","BH",0.283275736143818,0.296589063345966,0.223802126896881
"143","NS",0.489737809044541,0.488975664371244,0.4431534490202
"144","NS",0.402424979913745,0.50080258834742,0.476946324157414
"145","NS",0.694558155788527,0.528574162069075,0.462942779291553
"146","NS",0.116285758588407,0.523103275695565,0.481041690637825
"147","Pulsar",0.303048711602401,0.508192671881433,0.580645916218114
"148","NS",0.230761439887092,0.37693931263337,0.369053342005297
"149","NS",0.528742697745353,0.467363584631273,0.389933614966808
"150","NS",0.541512363093727,0.507898126771537,0.448824772954955
"151","NS",0.0526988391964001,0.440829975135042,0.408439461557999
"152","Pulsar",0.213696138193459,0.852332979851538,0.950638071605813
"153","NS",0.0489063455375202,0.510546378653113,0.455522050508858
"154","Pulsar",0.531405093033653,0.618576189695678,0.693962720721037
"155","BH",0.437934743255736,0.3455807653234,0.211107399985155
"156","NS",0.54654632720852,0.622357777762188,0.588182416304547
"157","NS",0.623737224099484,0.454222049167271,0.405322533989008
"158","Pulsar",0.371437162782143,0.408295952824958,0.614044315865606
"159","NS",0.0401666426991752,0.581994524378167,0.463900966724939
"160","NS",0.558452851701063,0.531816611509817,0.424617644212774
"161","BH",0.333533961022445,0.57058805447112,0.542413522012579
"162","NS",0.0568102210020949,0.521621240380546,0.433245441378542
"163","NS",0.721884137235763,0.577132391888738,0.568821168348257
"164","NS",0.611019586442019,0.556830692866073,0.52766752619664
"165","BH",0.348393263503833,0.431980515037903,0.210275141593017
"166","NS",0.218026848910657,0.401579868258543,0.318131509700874
"167","BH",0.622477263551896,0.397774327122153,0.304293231284382
"168","Pulsar",0.556638707038298,0.423098777425445,0.481414354445396
"169","NS",0.221085274201374,0.587573220818278,0.554231981439544
"170","Pulsar",0.489877240503119,0.644508079361833,0.777564471747616
"171","Pulsar",0.252794721259624,0.403665113761574,0.488458859814944
"172","NS",0.157793422083339,0.371231243576567,0.225736559684115
"173","Pulsar",0.382176149413868,0.519296217812881,0.67209811651336
"174","NS",0.349038818755591,0.422153024911032,0.354109388710149
"175","NS",0.524176043043582,0.584988551903907,0.622225471410139
"176","NS",0.262595824535236,0.401034596617383,0.393739091685543
"177","Pulsar",0.560803973818082,0.46128196239621,0.480259909859693
"178","BH",0.77768158511429,0.604045994396796,0.622845074573108
"179","BH",0.166386346499888,0.404835611120512,0.401864671281661
"180","NS",0.0216912616154471,0.589058281721455,0.544539294200475
"181","BH",0.28777760882629,0.251821099813522,0.0298282170183278
"182","NS",0.151686931158233,0.501942410472536,0.51287471618516
"183","NS",0.0163777213699733,0.340262773722628,0.414399004820401
"184","NS",0.698816906011953,0.582023065017974,0.483053341057258
"185","NS",0.058906334624884,0.252363513782695,0.339564158094207
"186","Pulsar",0.4834882172561,0.502550091074681,0.661271317829457
"187","Pulsar",0.318069769094877,0.382527537761361,0.483802486835213
"188","Pulsar",0.680283644885479,0.556637401019114,0.592452913171118
"189","NS",0.605279981391073,0.574961553225049,0.540734563230273
"190","NS",0.537223856423326,0.456120244246125,0.416500372901171
"191","BH",0.154132042692904,0.388791789152719,0.269149225469855
"192","NS",0.671513065710991,0.586856137508674,0.486198223285926
"193","NS",0.605516071379404,0.546742634813154,0.470852153929875
"194","BH",0.397364070023386,0.734389639523447,0.573859388683598
"195","NS",0.32057092991037,0.609780259163006,0.581439682413042
"196","NS",0.218867779384583,0.487151705694835,0.327924689351783
"197","BH",0.0262394793349459,0.33575677461996,0.531977646693573
"198","NS",0.925064558324792,0.566306535023804,0.578653373951849
"199","Pulsar",0.470918756017741,0.462713320138915,0.605207918890368
"200","BH",0.491648433486513,0.464993226841708,0.391843989954838
"201","Pulsar",0.52086748031118,0.530841588279364,0.57423984891407
"202","NS",0.838812562239736,0.517899681369332,0.518797064818365
"203","BH",0.0150664547424106,0.428801936264623,0.596696097977784
"204","NS",0.633876811898692,0.554301232913054,0.534272458016604
"205","BH",0.636294232084359,0.33320848616349,0.191239054039236
"206","NS",0.694713373300153,0.571692031486545,0.562996722584994
"207","Pulsar",0.458482615638563,0.463230552437364,0.547497281842709
"208","Pulsar",0.74710715744451,0.642703718619949,0.811056881710888
"209","NS",0.58878490541302,0.604408992893848,0.596770559832673
"210","Pulsar",0.51224367066877,0.450316654189345,0.50518186620039
"211","BH",0.227120427268351,0.494778067885118,0.366151046405823
"212","Pulsar",0.521406476077043,0.372694455412037,0.436500899348922
"213","Pulsar",0.172279947878926,0.612441972068243,0.71629924364627
"214","BH",0.467500200032914,0.464093178980819,0.225668251885864
"215","Pulsar",0.524084555639285,0.526648599819332,0.693339449251064
"216","Pulsar",0.507871258368573,0.538230748249841,0.691907958589453
"217","NS",0.517960004679697,0.482735956860431,0.433596401553874
"218","NS",0.217897474991592,0.386765698852127,0.311954804216541
"219","NS",0.555678705244392,0.468723399177413,0.34082833228048
"220","BH",0.389295723462626,0.424817493860777,0.18859876514116
"221","BH",0.238233879455692,0.404518212638784,0.20290353801484
"222","Pulsar",0.367333870815058,0.53872034340739,0.714285714285714
"223","NS",0.0300247085695096,0.489595203630129,0.39587586273938
"224","NS",0.121178846406786,0.55640617437652,0.564263566586832
"225","BH",0.597200428541254,0.432804700052741,0.328044173205464
"226","NS",0.504741618731532,0.427363559059988,0.373655061618788
"227","BH",0.462144674448008,0.443146740798238,0.313993439706455
"228","BH",0.449017064227951,0.797471229422442,0.762066639913774
"229","Pulsar",0.217169094291561,0.364305427782889,0.508422969665927
"230","BH",0.479665982956837,0.333509830915316,0.040414307640703
"231","NS",0.0399141760457709,0.358103398794637,0.284290644785262
"232","Pulsar",0.198787962196308,0.416852640833164,0.5856518187497
"233","Pulsar",0.238186180520049,0.475662482047313,0.672855670390283
"234","NS",0.843865033418963,0.559269053498765,0.601475672824269
"235","NS",0.328137273133907,0.596190183577848,0.529009138147285
"236","BH",0.0389737345638629,0.444780667504159,0.521564224561968
"237","Pulsar",0.141452081119328,0.404171066525871,0.529889606332014
"238","Pulsar",0.15955359293836,0.705617198335645,0.836163643380934
"239","NS",0.739634073698407,0.432004060324826,0.389244059128048
"240","NS",0.722132059969183,0.519856108305077,0.50918322622188
"241","NS",0.0974810552376077,0.484654958311158,0.378908546688759
"242","BH",0.248583322368879,0.602448195855668,0.78607714826933
"243","NS",0.167160345198401,0.55841280653951,0.454621937112209
"244","NS",0.241415231439976,0.530930435422338,0.565986040643074
"245","NS",0.0823679376700597,0.424340524919252,0.48717695473251
"246","Pulsar",0.314534922277278,0.321103327495622,0.359908633073727
"247","Pulsar",0.351485243586137,0.527511677618558,0.649257532421737
"248","BH",0.215517036923965,0.530742167867314,0.469808820745788
"249","BH",0.305649794964448,0.760854936621869,0.67532833567666
"250","Pulsar",0.164970058266045,0.786610878661088,0.887068201948627
"251","NS",0.17456540885273,0.562962693269254,0.606135841627475
"252","Pulsar",0.340550856987466,0.557117813316161,0.653491952414276
"253","NS",0.601807989343552,0.516370662386836,0.498445462560533
"254","NS",0.00565132025057589,0.428411332257486,0.453520764582351
"255","Pulsar",0.428923411258844,0.648242431751219,0.783041238713622
"256","Pulsar",0.284775884402042,0.43248454225118,0.629304729230903
"257","Pulsar",0.45684946923977,0.251192013509486,0.486320272572402
"258","NS",0.137464215500239,0.64460907888415,0.750982934756407
"259","NS",0.00945827225640621,0.425665619315363,0.588272951441578
"260","NS",0.68006906191906,0.561351696355834,0.477649974104861
"261","NS",0.443642954780441,0.546674125293655,0.528923256506239
"262","NS",0.287973744553568,0.603322760096345,0.527865099122345
"263","Pulsar",0.29921100891719,0.557145261740448,0.669368520263902
"264","NS",0.384915425496033,0.551652998462327,0.443107482213627
"265","Pulsar",0.544826932966652,0.198518935462877,0.356253796922903
"266","NS",0.439773507954808,0.515498336035498,0.374691978359329
"267","NS",0.0284191280571563,0.367628941497686,0.416492564827332
"268","NS",0.611959939990516,0.583805392560899,0.574448092008604
"269","NS",0.858545038135722,0.441762045529195,0.403286790720285
"270","BH",0.504678550142519,0.619909390036211,0.584742739207602
"271","Pulsar",0.446027558706672,0.657920168067227,0.854525149647101
"272","BH",0.498413713143548,0.347973880797549,0.204273041795792
"273","NS",0.746137005071854,0.461682203524034,0.387102590299898
"274","BH",0.736146218996909,0.633902181906645,0.584411255892202
"275","NS",0.435056310499111,0.454760101213596,0.413187051451616
"276","BH",0.618843903205649,0.345026671522526,0.19191478676869
"277","NS",0.54293568237009,0.492820957216688,0.428303148465456
"278","BH",0.433584269528016,0.450530328140537,0.426632079550368
"279","NS",0.801495208325329,0.609323398841427,0.582693145243633
"280","BH",0.416829483909859,0.52912904165453,0.287807027205639
"281","NS",0.401113986540336,0.431715295485305,0.37677740554625
"282","NS",0.701941650478626,0.554862664457781,0.504530321728898
"283","NS",0.0272233979221033,0.464422120229804,0.388418544988089
"284","BH",0.24374070721101,0.504392634693735,0.47992985255739
"285","NS",0.516770381684353,0.504087077152919,0.427769295178053
"286","NS",0.617235989993067,0.524442541603206,0.502054074710997
"287","NS",0.573268972062465,0.454134887468845,0.400181207915491
"288","NS",0.537154417314684,0.57866719354735,0.557801294593425
"289","NS",0.0450706807557677,0.502520095589833,0.502174007565546
"290","Pulsar",0.673786845774779,0.518633679647208,0.682679989751473
"291","BH",0.455757768907015,0.407848262770543,0.285153461812991
"292","Pulsar",0.315594783445416,0.372401784742627,0.686519296974089
"293","BH",0.522592680996828,0.385592369477912,0.189161435646024
"294","NS",0.277539616406055,0.420164983759836,0.328179127039113
"295","Pulsar",0.433447676330227,0.517509056408487,0.721912905150129
