"","classification","relative_intensity","soft_colors","hard_colors"
"1","BH",0.477892358746744,0.710908803510699,0.649438244894861
"2","NS",0.821408889696313,0.583119788243665,0.623846622562674
"3","NS",0.35809372760215,0.399204841993087,0.40606175207326
"4","NS",0.322899837115756,0.414792680000872,0.399967571859083
"5","NS",0.538127265449836,0.553715530447637,0.567078512807641
"6","NS",0.0258757565975916,0.462026823267995,0.516545428612181
"7","NS",0.735153642553096,0.442189594438729,0.431900438123055
"8","NS",0.721206811659776,0.480711511299435,0.40086572738075
"9","Pulsar",0.508187385621129,0.410863881329705,0.379521570537437
"10","BH",0.4404478152825,0.569405576722074,0.660436054240893
"11","NS",0.276214106544855,0.536246578927903,0.437584013028057
"12","Pulsar",0.199482269331077,0.557150260799786,0.683261191888273
"13","NS",0.0304507326022423,0.409412690089145,0.37750449081111
"14","BH",0.0208447243940364,0.480226032077514,0.515570661896243
"15","NS",0.544926591918623,0.559943134378878,0.523474963101975
"16","BH",0.0950757150857006,0.514353414833609,0.585184123799971
"17","BH",0.692724569549505,0.556189095901905,0.588430862822077
"18","NS",0.378854956135369,0.557802582037134,0.554585335342249
"19","BH",0.372194108501524,0.482739939757731,0.291880506689608
"20","BH",0.538825040056464,0.311845357934708,0.0577921228246172
"21","BH",0.41952287944524,0.475201945026748,0.299707366529183
"22","Pulsar",0.3763045036859,0.501814808840136,0.744988749200058
"23","NS",0.709834300534993,0.478508040716157,0.384821166813251
"24","NS",0.249294786692296,0.492077901738907,0.572924269105696
"25","NS",0.594542103317191,0.614737142997652,0.548115141060237
"26","BH",0.0386096428649651,0.385423048285092,0.378042731781763
"27","NS",0.85800817626625,0.458520424926076,0.38013174459727
"28","Pulsar",0.362919123869402,0.750235013377685,0.925005970862192
"29","NS",0.823654800377575,0.536600088958549,0.51367061595572
"30","Pulsar",0.664972220258851,0.569600890001391,0.713093858632677
"31","BH",0.183691839435988,0.423163938451691,0.137360237123042
"32","Pulsar",0.518951392847653,0.463442777719501,0.543409565636549
"33","BH",0.300209035459581,0.442788508677321,0.216786108048512
"34","NS",0.151958783951584,0.263470666765557,0.0984197236644254
"35","Pulsar",0.0724496965731048,0.619975524804669,0.612020912620613
"36","NS",0.236802845291653,0.6096778460832,0.579032816161603
"37","BH",0.333703025946074,0.261887536266121,0.114968066884718
"38","NS",0.265470784103906,0.479046075480435,0.477968330078691
"39","Pulsar",0.297629949616316,0.405723847038728,0.659659419855862
"40","Pulsar",0.505363276786637,0.509187098242221,0.528627622377622
"41","Pulsar",0.508709221612341,0.48188472095151,0.676492430734076
"42","BH",0.35932337952287,0.310725723084486,0.184076536680957
"43","Pulsar",0.648686912751588,0.524893589578228,0.647495095459113
"44","NS",0.460713500263225,0.404872844452186,0.349619483099815
"45","NS",0.089533960447855,0.465848767252566,0.519986031603497
"46","Pulsar",0.402000841968252,0.432968236582694,0.879404827766939
"47","Pulsar",0.421519660359201,0.659528683757503,0.627950428979981
"48","BH",0.328016549225783,0.333663032955932,0.0669790193305044
"49","NS",0.282882676954932,0.480781402463145,0.476407661775559
"50","NS",0.584059481547369,0.5556064590597,0.543150561344168
"51","Pulsar",0.133437031786928,0.669105002438336,0.752868220026262
"52","BH",0.700140168245697,0.683229512214654,0.701411659486185
"53","Pulsar",0.252044137929058,0.408008056674538,0.565005486233382
"54","Pulsar",0.0397888902429318,0.51445285615967,0.625828692654468
"55","BH",0.109848762703559,0.58919723796591,0.307563144033795
"56","Pulsar",0.577067302507026,0.572511329895296,0.704350175628209
"57","BH",0.0726470536412342,0.555710360308061,0.257985702651344
"58","Pulsar",0.0322687511604915,0.610723562152134,0.788875249039061
"59","NS",0.167034685700681,0.450695130111698,0.642222974023243
"60","NS",0.672376836624942,0.406845273561774,0.416754154746786
